name,country,subcountry
Zárate,Argentina,Buenos Aires
Villa Ocampo,Argentina,Santa Fe
Villa Lugano,Argentina,Buenos Aires F.D.
Villaguay,Argentina,Entre Rios
Villa Gesell,Argentina,Buenos Aires
Tigre,Argentina,Buenos Aires
Tandil,Argentina,Buenos Aires
San Vicente,Argentina,Misiones
Santo Tomé,Argentina,Corrientes
Santa Elena,Argentina,Entre Rios
San Pedro,Argentina,Misiones
San Luis del Palmar,Argentina,Corrientes
San Lorenzo,Argentina,Corrientes
San Javier,Argentina,Santa Fe
San Isidro,Argentina,Buenos Aires
Saladas,Argentina,Corrientes
Retiro,Argentina,Buenos Aires F.D.
Resistencia,Argentina,Chaco
Reconquista,Argentina,Santa Fe
Quilmes,Argentina,Buenos Aires
Puerto Rico,Argentina,Misiones
Puerto Iguazú,Argentina,Misiones
Puerto Esperanza,Argentina,Misiones
Puerto Eldorado,Argentina,Misiones
Posadas,Argentina,Misiones
Pontevedra,Argentina,Buenos Aires
Pirané,Argentina,Formosa
Paso de los Libres,Argentina,Corrientes
Oberá,Argentina,Misiones
Necochea,Argentina,Buenos Aires
Morón,Argentina,Buenos Aires
Monte Caseros,Argentina,Corrientes
Montecarlo,Argentina,Misiones
Mercedes,Argentina,Buenos Aires
Mercedes,Argentina,Corrientes
Mar del Plata,Argentina,Buenos Aires
Luján,Argentina,Buenos Aires
La Plata,Argentina,Buenos Aires
La Paz,Argentina,Entre Rios
Jardín América,Argentina,Misiones
Gualeguaychú,Argentina,Entre Rios
Gualeguay,Argentina,Entre Rios
Goya,Argentina,Corrientes
Gobernador Ingeniero Valentín Virasoro,Argentina,Corrientes
General José de San Martín,Argentina,Chaco
Garupá,Argentina,Misiones
Formosa,Argentina,Formosa
Fontana,Argentina,Chaco
Federal,Argentina,Entre Rios
Esquina,Argentina,Corrientes
El Soberbio,Argentina,Misiones
Dolores,Argentina,Buenos Aires
Curuzú Cuatiá,Argentina,Corrientes
Corrientes,Argentina,Corrientes
Concordia,Argentina,Entre Rios
Concepción del Uruguay,Argentina,Entre Rios
Colegiales,Argentina,Buenos Aires F.D.
Chajarí,Argentina,Entre Rios
Campana,Argentina,Buenos Aires
Buenos Aires,Argentina,Buenos Aires F.D.
Barranqueras,Argentina,Chaco
Azul,Argentina,Buenos Aires
Avellaneda,Argentina,Santa Fe
Aristóbulo del Valle,Argentina,Misiones
Zapala,Argentina,Neuquen
Yerba Buena,Argentina,Tucumán
Villa Regina,Argentina,Rio Negro
Villa Paula de Sarmiento,Argentina,San Juan
Villa Nueva,Argentina,Cordoba
Villa María,Argentina,Cordoba
Villa Dolores,Argentina,Cordoba
Villa Constitución,Argentina,Santa Fe
Villa Carlos Paz,Argentina,Cordoba
Villa Ángela,Argentina,Chaco
Villa Allende,Argentina,Cordoba
Viedma,Argentina,Rio Negro
Victoria,Argentina,Entre Rios
Vera,Argentina,Santa Fe
Venado Tuerto,Argentina,Santa Fe
Veinticinco de Mayo,Argentina,Buenos Aires
Ushuaia,Argentina,Tierra del Fuego
Unquillo,Argentina,Cordoba
Tres Isletas,Argentina,Chaco
Tres Arroyos,Argentina,Buenos Aires
Trelew,Argentina,Chubut
Termas de Río Hondo,Argentina,Santiago del Estero
Tartagal,Argentina,Salta
Tafí Viejo,Argentina,Tucumán
Sunchales,Argentina,Santa Fe
Santo Tomé,Argentina,Santa Fe
Santiago del Estero,Argentina,Santiago del Estero
Santa Rosa,Argentina,La Pampa
Santa Lucía,Argentina,San Juan
Santa Fe de la Vera Cruz,Argentina,Santa Fe
San Salvador de Jujuy,Argentina,Jujuy
San Ramón de la Nueva Orán,Argentina,Salta
San Rafael,Argentina,Mendoza
San Pedro,Argentina,Jujuy
San Nicolás de los Arroyos,Argentina,Buenos Aires
San Miguel de Tucumán,Argentina,Tucumán
San Martín de los Andes,Argentina,Neuquen
San Martín,Argentina,Mendoza
San Luis,Argentina,San Luis
San Justo,Argentina,Santa Fe
San Juan,Argentina,San Juan
San José de Jáchal,Argentina,San Juan
San Jorge,Argentina,Santa Fe
San Francisco,Argentina,Cordoba
San Fernando del Valle de Catamarca,Argentina,Catamarca
San Antonio Oeste,Argentina,Rio Negro
Salta,Argentina,Salta
Rufino,Argentina,Santa Fe
Rosario,Argentina,Santa Fe
Río Tercero,Argentina,Cordoba
Río Segundo,Argentina,Cordoba
Río Gallegos,Argentina,Santa Cruz
Río Cuarto,Argentina,Cordoba
