100034,100312,100021,432198
codigo_producto,fecha(dd-MMM-aaaa),cantidad_cosechada
100034,02-ENE-2018,5
100021,02-ENE-2018,15
100312,07-ENE-2018,11
432198,20-ENE-2018,12
432198,20-ENE-2018,13
100034,02-FEB-2018,4
100021,02-FEB-2018,13
100312,07-FEB-2018,12
432198,20-FEB-2018,9
100034,02-MAR-2018,5
100021,02-MAR-2018,5
100312,07-MAR-2018,5
432198,20-MAR-2018,5
100034,02-ABR-2018,5
100021,02-ABR-2018,1
100021,07-ABR-2018,4
432198,20-ABR-2018,3
100021,07-OCT-2018,4
100021,12-OCT-2018,10
432198,20-DIC-2018,3
